city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Akyab,MM,2020-09-27 21:30:07,20.15,92.9,79.95,89,76,8.28
71,Aykhal,RU,2020-09-27 21:30:07,66.0,111.5,32.0,95,90,6.71
72,Mizdah,LY,2020-09-27 21:30:07,31.45,12.98,74.1,33,16,6.53
73,Kalabagh,PK,2020-09-27 21:30:07,32.97,71.56,82.58,34,0,6.08
74,Beloha,MG,2020-09-27 21:30:07,-25.17,45.05,67.71,86,0,5.41
75,Nacimiento,CL,2020-09-27 21:30:08,-37.5,-72.67,64.4,52,1,4.47
76,Mareeba,AU,2020-09-27 21:30:08,-17.0,145.43,73.4,78,43,9.17
77,Kudat,MY,2020-09-27 21:30:08,6.88,116.85,75.2,100,40,2.24
78,Ahipara,NZ,2020-09-27 21:30:09,-35.17,173.17,58.96,64,10,13.94
79,Marzuq,YE,2020-09-27 21:30:09,14.4,46.47,78.15,54,1,2.15
80,Blackwater,AU,2020-09-27 21:30:10,-23.58,148.88,66.22,42,17,7.05
81,Lakes Entrance,AU,2020-09-27 21:30:10,-37.88,147.98,33.01,93,1,1.01
82,Severo-Yeniseyskiy,RU,2020-09-27 21:30:10,60.37,93.04,36.52,97,69,10.2
83,Aklavik,CA,2020-09-27 21:30:11,68.22,-135.01,35.6,89,75,2.24
84,Royan,FR,2020-09-27 21:30:11,45.63,-1.03,57.2,71,90,4.7
85,Kodiak,US,2020-09-27 21:30:12,57.79,-152.41,48.2,87,90,6.93
86,Pervomayskoye,RU,2020-09-27 21:30:12,43.92,46.71,61.48,55,5,14.27
87,Tuktoyaktuk,CA,2020-09-27 21:27:56,69.45,-133.04,37.4,93,90,4.7
88,Kaitangata,NZ,2020-09-27 21:30:12,-46.28,169.85,39.0,80,87,11.01
89,El Fuerte,MX,2020-09-27 21:30:13,26.42,-108.62,95.83,46,36,9.19
90,Longyearbyen,SJ,2020-09-27 21:29:39,78.22,15.64,35.6,89,75,14.99
91,Verkhnevilyuysk,RU,2020-09-27 21:30:13,63.45,120.32,35.87,88,71,5.14
92,Nchelenge,ZM,2020-09-27 21:30:13,-9.35,28.73,74.3,71,85,4.14
93,Derzhavinsk,KZ,2020-09-27 21:30:14,51.1,66.32,43.25,65,78,1.43
94,Albany,US,2020-09-27 21:25:34,42.6,-73.97,75.0,68,30,10.31
95,Bredasdorp,ZA,2020-09-27 21:30:14,-34.53,20.04,50.0,76,0,3.36
96,Arraial Do Cabo,BR,2020-09-27 21:30:14,-22.97,-42.03,78.8,78,0,14.99
97,Lewiston,US,2020-09-27 21:30:15,44.1,-70.21,70.0,83,90,8.05
98,Castro,BR,2020-09-27 21:30:15,-24.79,-50.01,69.24,78,98,10.98
99,Shiyan,CN,2020-09-27 21:30:16,32.65,110.78,65.7,83,100,2.13
100,Cabedelo,BR,2020-09-27 21:26:04,-6.98,-34.83,78.8,78,20,12.75
101,Nizhniy Tsasuchey,RU,2020-09-27 21:30:16,50.52,115.13,35.83,83,0,11.43
102,Port Elizabeth,ZA,2020-09-27 21:26:36,-33.92,25.57,48.2,81,0,4.7
103,San Patricio,MX,2020-09-27 21:30:16,19.22,-104.7,89.6,75,40,7.09
104,Qinhuangdao,CN,2020-09-27 21:30:16,39.93,119.59,61.7,79,50,3.53
105,Mahebourg,MU,2020-09-27 21:30:16,-20.41,57.7,69.8,94,40,9.17
106,Aswan,EG,2020-09-27 21:28:10,24.09,32.91,85.37,29,0,9.8
107,Monrovia,LR,2020-09-27 21:28:21,6.3,-10.8,78.8,88,75,7.85
108,Nikolskoye,RU,2020-09-27 21:30:17,59.7,30.79,57.0,81,1,8.95
109,Thompson,CA,2020-09-27 21:26:34,55.74,-97.86,44.6,87,90,13.87
110,Port Alfred,ZA,2020-09-27 21:30:17,-33.59,26.89,54.07,66,33,7.92
111,Perth,AU,2020-09-27 21:25:35,-31.93,115.83,57.0,93,90,3.36
112,Klyuchi,RU,2020-09-27 21:30:17,52.27,79.17,44.58,72,90,6.82
113,Karratha,AU,2020-09-27 21:30:17,-20.74,116.85,65.91,41,16,12.26
114,Olafsvik,IS,2020-09-27 21:30:18,64.89,-23.71,45.0,83,26,11.16
115,Tiksi,RU,2020-09-27 21:30:18,71.69,128.87,39.7,91,87,7.47
116,Half Moon Bay,US,2020-09-27 21:28:39,37.46,-122.43,90.0,53,1,13.87
117,Viedma,AR,2020-09-27 21:28:43,-40.81,-63.0,60.01,48,0,7.0
118,Qaanaaq,GL,2020-09-27 21:30:18,77.48,-69.36,13.28,76,0,6.11
119,Capaccio,IT,2020-09-27 21:30:18,40.42,15.08,61.0,80,89,7.0
120,Jamestown,US,2020-09-27 21:27:50,42.1,-79.24,77.0,64,1,12.75
121,Cervo,ES,2020-09-27 21:30:19,43.67,-7.41,51.01,81,0,3.0
122,Vanimo,PG,2020-09-27 21:30:19,-2.67,141.3,82.02,71,39,4.0
123,Gubskaya,RU,2020-09-27 21:30:19,44.32,40.64,63.88,66,8,4.21
124,Cabra,ES,2020-09-27 21:30:19,37.47,-4.44,66.0,50,1,2.75
125,Klaksvik,FO,2020-09-27 21:30:20,62.23,-6.59,46.4,87,100,12.75
126,Asfi,MA,2020-09-27 21:30:20,32.3,-9.24,68.07,85,0,23.17
127,Hermanus,ZA,2020-09-27 21:30:20,-34.42,19.23,44.01,93,1,3.74
128,Pontes E Lacerda,BR,2020-09-27 21:30:20,-15.23,-59.34,85.96,45,86,2.06
129,Telimele,GN,2020-09-27 21:30:21,10.92,-13.33,70.34,98,100,2.33
130,Jardim,BR,2020-09-27 21:30:21,-21.48,-56.14,87.73,39,55,5.99
131,Coxim,BR,2020-09-27 21:30:21,-18.51,-54.76,94.68,26,57,1.88
132,Alice Springs,AU,2020-09-27 21:26:45,-23.7,133.88,62.6,20,4,4.7
133,Kapaa,US,2020-09-27 21:28:22,22.08,-159.32,82.99,65,20,10.29
134,San Juan Cotzal,GT,2020-09-27 21:30:21,15.43,-91.03,67.89,79,54,3.11
135,Kavieng,PG,2020-09-27 21:30:21,-2.57,150.8,78.8,88,100,11.56
136,Hasaki,JP,2020-09-27 21:30:22,35.73,140.83,60.8,100,75,5.82
137,Taltal,CL,2020-09-27 21:30:22,-25.4,-70.48,60.67,60,22,5.59
138,Bethel,US,2020-09-27 21:30:22,41.37,-73.41,77.0,69,40,8.05
139,Port Lincoln,AU,2020-09-27 21:30:23,-34.73,135.87,57.24,73,100,20.02
140,Barrow,US,2020-09-27 21:28:07,71.29,-156.79,32.0,95,90,9.17
141,Vanavara,RU,2020-09-27 21:30:23,60.34,102.28,42.3,84,98,8.55
142,Riyadh,SA,2020-09-27 21:25:50,24.69,46.72,82.4,21,0,5.97
143,Chilliwack,CA,2020-09-27 21:28:44,49.17,-121.94,64.4,59,75,5.82
144,Lagoa,PT,2020-09-27 21:29:28,39.05,-27.98,70.88,86,56,6.55
145,Jumla,NP,2020-09-27 21:30:24,29.27,82.18,50.72,54,0,4.23
146,Cabo San Lucas,MX,2020-09-27 21:30:24,22.89,-109.91,91.0,70,20,13.87
147,Rocha,UY,2020-09-27 21:30:24,-34.48,-54.33,59.74,90,83,11.92
148,Kalmunai,LK,2020-09-27 21:30:24,7.42,81.82,79.29,81,98,3.69
149,Algiers,DZ,2020-09-27 21:30:25,36.75,3.04,62.6,88,20,1.12
150,Te Anau,NZ,2020-09-27 21:30:25,-45.42,167.72,38.52,82,77,7.78
151,Saldanha,ZA,2020-09-27 21:29:37,-33.01,17.94,46.4,75,0,2.24
152,Saint George,US,2020-09-27 21:29:24,37.1,-113.58,89.01,18,1,4.7
153,Rawson,AR,2020-09-27 21:30:26,-43.3,-65.1,54.57,43,0,7.81
