City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
292,Punalur,IN,84.2,few clouds,9.0,76.93,Motel Araam
293,Port Pirie,AU,75.2,clear sky,-33.18,138.02,John Pirie Motor Inn
294,Honiara,SB,80.6,light intensity drizzle,-9.43,159.95,Heritage Park Hotel
295,Salalah,OM,77.0,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
298,Fare,PF,79.41,few clouds,-16.7,-151.02,Maitai Lapita Village Huahine
302,Alofi,NU,82.4,scattered clouds,-19.06,-169.92,Taloa Heights
306,Gizo,SB,84.69,light rain,-8.1,156.84,Imagination Island
309,Port Blair,IN,83.66,overcast clouds,11.67,92.75,Fortune Resort Bay Island
312,Hilo,US,82.4,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
315,Lorengau,PG,84.42,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
316,Caborca,MX,88.0,clear sky,30.58,-111.1,Hotel Los Lagos
317,Bakel,SN,83.53,broken clouds,14.9,-12.46,Hôtel islam
318,Pangai,TO,75.2,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
320,Mokokchung,IN,76.98,overcast clouds,26.33,94.53,Circuit House
323,Ixtapa,MX,82.4,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
329,Borazjan,IR,82.4,haze,29.27,51.22,شرکت زرمهریار شعبه سوم
333,Hithadhoo,MV,82.78,overcast clouds,-0.6,73.08,Scoop Guest House
336,Buala,SB,78.71,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
337,Niono,ML,83.32,broken clouds,14.25,-5.99,Hôtel Campement
338,Siocon,PH,85.87,scattered clouds,7.71,122.14,MSWDO
339,Kudahuvadhoo,MV,82.69,moderate rain,2.67,72.89,Kudahuvadhoo Retreat
340,Kyaikto,MM,85.03,scattered clouds,17.3,97.02,သက်တန့်အိမ်
346,Noumea,NC,77.0,few clouds,-22.28,166.46,Hôtel Le Lagon
355,Mount Isa,AU,93.2,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
357,Kloulklubed,PW,77.0,light intensity shower rain,7.04,134.26,Storyboard Beach Resort
358,Harper,LR,76.77,light rain,4.38,-7.72,Screensaver
363,Palu,ID,92.37,clear sky,-0.89,119.87,Hotel Santika Palu
366,Kavieng,PG,84.65,light rain,-2.57,150.8,Nusa Island Retreat
370,Port Augusta,AU,75.2,clear sky,-32.5,137.77,Majestic Oasis Apartments
371,Lalmohan,BD,86.65,overcast clouds,22.34,90.74,Sundorbon courier service
375,Auki,SB,82.94,moderate rain,-8.77,160.7,Auki Motel
377,Atambua,ID,88.2,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
379,The Valley,AI,84.2,broken clouds,18.22,-63.06,CeBlue Villas & Beach Resort
381,Victoria,HK,84.0,overcast clouds,22.29,114.16,Mini Hotel Central
383,Hirara,JP,82.4,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
384,Morondava,MG,76.51,clear sky,-20.28,44.28,La Case Bambou
389,Cabo San Lucas,MX,84.2,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
391,Ziguinchor,SN,75.2,thunderstorm,12.58,-16.27,Casa Motel
393,Payyannur,IN,77.0,mist,12.1,75.2,Kavvayi Beach House
396,Ca Mau,VN,81.75,light rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
399,Villarrica,PY,80.89,clear sky,-25.75,-56.43,Mansión Reljuv Tours SA
404,Isla Mujeres,MX,77.0,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
408,Port Keats,AU,89.29,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
412,Mahajanga,MG,75.2,scattered clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
413,Dancheng,CN,79.41,broken clouds,33.63,115.18,Home Inn
414,Nouakchott,MR,84.2,clear sky,18.09,-15.98,Hôtel Iman
416,Kahuta,PK,80.01,haze,33.59,73.39,Fazal shah bhukhari
419,Ugoofaaru,MV,81.82,broken clouds,5.67,73.0,Ungoofaaru Inn
423,Bonfim,BR,78.26,scattered clouds,3.08,-59.95,
426,Sur,OM,86.68,clear sky,22.57,59.53,Sur Plaza Hotel
434,Mundo Nuevo,MX,77.85,broken clouds,18.7,-95.5,
435,Umm Kaddadah,SD,81.27,overcast clouds,13.6,26.69,
436,Shingu,JP,80.6,few clouds,33.73,135.98,Shingu UI Hotel
439,Loandjili,CG,75.34,broken clouds,-4.76,11.86,Résidence ARCHANGE
442,Adrar,MR,87.87,clear sky,20.5,-10.07,
444,Ko Samui,TH,89.6,few clouds,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
451,Kilindoni,TZ,77.72,light rain,-7.91,39.67,Bustani B&B
454,Umm Lajj,SA,84.04,clear sky,25.02,37.27,Moon light Furnished Units
455,Teacapan,MX,80.8,broken clouds,22.55,-105.75,Hotel los Mangos
458,Kurayoshi,JP,77.0,few clouds,35.43,133.82,Misasa Royal Hotel
461,Daru,PG,78.73,overcast clouds,-9.08,143.21,New century hotel
464,Aracati,BR,75.85,few clouds,-4.56,-37.77,Motel Pousada Milleniun - Aracati-CE
467,Pasighat,IN,88.36,clear sky,28.07,95.33,Siang Guest House
468,Dingle,PH,86.83,overcast clouds,11.0,122.67,Camp Pasica
470,Campina Verde,BR,82.35,clear sky,-19.54,-49.49,Hotel Lino
471,Lahij,YE,78.17,scattered clouds,13.17,44.58,
473,Talavera,PH,87.8,broken clouds,15.62,120.93,R&G's Resort
474,Katobu,ID,92.46,scattered clouds,-4.94,122.53,La Ode Husein
477,Moranbah,AU,86.65,clear sky,-22.0,148.05,Direct Hotels - Monterey Moranbah
478,Ahuimanu,US,84.2,few clouds,21.44,-157.84,Paradise Bay Resort
479,San Quintin,MX,80.28,clear sky,30.48,-115.95,Old Mill Hotel
481,Safford,US,80.6,clear sky,32.83,-109.71,SpringHill Suites by Marriott Thatcher
485,Maunabo,PR,77.0,moderate rain,18.01,-65.9,Maunacaribe
487,Omboue,GA,75.38,overcast clouds,-1.57,9.26,Hotel Olako
489,Wanning,CN,86.5,broken clouds,18.8,110.4,Paradise Hotel
491,Goundam,ML,89.82,few clouds,16.41,-3.67,
492,Santa Cruz,BO,80.6,clear sky,-17.8,-63.17,Hotel Cortez
